PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;PopulærnavnBokmål;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnNynorsk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnSamisk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar
"1399";"Plantae";;"Rhodophyta";;;"Compsogonophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1399";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1399;1399;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1401";"Plantae";;"Rhodophyta";;;"Compsopogonophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1401";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1401;1401;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1404";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1404";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1404;1404;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1428";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1428";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1428;1428;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1431";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1431";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1431;1431;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1432";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;;;;;;;;;;;;"1431";"1432";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1432;1432;"Nei";;;;;;;;;;;;;;;;;;;;;;
"106848";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;;;;;;;;"1432";"98519";"20.08.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66634;106848;"Nei";;;;;;;;;;;;;;;;;;;;;;
"144677";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Phragmonemataceae";;;;;;;;;;;"1432";"136210";;;"Gyldig";"Ingen_bistatus";"03.10.2014 00:00:00";"03.10.2014 00:00:00";;;;;103910;144677;"Nei";;;;;;;;;;;;;;;;;;;;;;
"144678";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Phragmonemataceae";;;;"Kyliniella";;;;;;;"144677";"136211";;"Skuja ";"Gyldig";"Ingen_bistatus";"03.10.2014 00:00:00";"03.10.2014 00:00:00";;;;;103911;144678;"Nei";;;;;;;;;;;;;;;;;;;;;;
"144679";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Phragmonemataceae";;;;"Kyliniella";;;"latvica";;;;"144678";"136212";;"Skuja";"Gyldig";"Ingen_bistatus";"03.10.2014 00:00:00";"03.10.2014 00:00:00";;;;;103912;144679;"Nei";;;;;;;;;;;;;;;;;;;;;;
"106849";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;"Chroodactylon";;;;;;;"106848";"98520";"20.08.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66635;106849;"Nei";;;;;;;;;;;;;;;;;;;;;;
"106851";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;"Stylonema";;;;;;;"106848";"98522";"20.08.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66637;106851;"Nei";;;;;;;;;;;;;;;;;;;;;;
"106872";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;"Goniotrichum";;;;;;;"106848";"98543";"20.08.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66642;106872;"Nei";;;;;;;;;;;;;;;;;;;;;;
"106926";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;"Asterocytis";;;;;;;"106848";"98597";"20.08.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66649;106926;"Nei";;;;;;;;;;;;;;;;;;;;;;
"106927";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;"Asterocytis";;;"ramosa";;;;"106926";"98598";"20.08.2009 00:00:00";;"Synonym";"Illegitimt";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66636;106850;"Ja";"blå stjernetråd";;"Bokmål";"Ja";"13.09.2009 18:21:56";"13.09.2009 18:21:56";;"blå stjernetråd";;"Nynorsk";"Ja";"13.09.2009 18:21:56";"13.09.2009 18:21:56";;;;;;;;;
"106873";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;"Goniotrichum";;;"elegans";;;;"106872";"98544";"20.08.2009 00:00:00";;"Synonym";"Illegitimt";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66638;106852;"Ja";"gaffelgreinet stjernetråd";;"Bokmål";"Ja";"11.11.2010 00:00:00";"11.11.2010 00:00:00";;"gaffelgreina stjernetråd";;"Nynorsk";"Ja";"11.11.2010 00:00:00";"11.11.2010 00:00:00";;;;;;;;;
"106899";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;"Goniotrichum";;;"alsidii";;;;"106872";"98570";"20.08.2009 00:00:00";;"Synonym";"Illegitimt";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66638;106852;"Ja";"gaffelgreinet stjernetråd";;"Bokmål";"Ja";"11.11.2010 00:00:00";"11.11.2010 00:00:00";;"gaffelgreina stjernetråd";;"Nynorsk";"Ja";"11.11.2010 00:00:00";"11.11.2010 00:00:00";;;;;;;;;
"106852";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;"Stylonema";;;"alsidii";;;;"106851";"98523";"20.08.2009 00:00:00";"(Zanardini) K.M. Drew";"Gyldig";"Ingen_bistatus";"11.11.2010 00:00:00";"20.08.2009 00:00:00";;"1956";;;66638;106852;"Ja";"gaffelgreinet stjernetråd";;"Bokmål";"Ja";"11.11.2010 00:00:00";"11.11.2010 00:00:00";;"gaffelgreina stjernetråd";;"Nynorsk";"Ja";"11.11.2010 00:00:00";"11.11.2010 00:00:00";;;;;;;;;
"106850";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;"Chroodactylon";;;"ornatum";;;;"106849";"98521";"20.08.2009 00:00:00";"(C. Agardh) Basson";"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;"1979";;"ferskvann og brakkvann";66636;106850;"Ja";"blå stjernetråd";;"Bokmål";"Ja";"13.09.2009 18:21:56";"13.09.2009 18:21:56";;"blå stjernetråd";;"Nynorsk";"Ja";"13.09.2009 18:21:56";"13.09.2009 18:21:56";;;;;;;;;
"1429";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;"Porphyridiales";;;;;;;;;;;;;;;"1428";"1429";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1429;1429;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1430";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;"Rhodellales";;;;;;;;;;;;;;;"1428";"1430";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1430;1430;"Nei";;;;;;;;;;;;;;;;;;;;;;
"106845";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;"Rhodellales";;;;"Rhodellaceae";;;;;;;;;;;"1430";"98516";"20.08.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66631;106845;"Nei";;;;;;;;;;;;;;;;;;;;;;
"106846";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;"Rhodellales";;;;"Rhodellaceae";;;;"Rhodella";;;;;;;"106845";"98517";"20.08.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"20.08.2009 00:00:00";"20.08.2009 00:00:00";;;;;66632;106846;"Nei";;;;;;;;;;;;;;;;;;;;;;
